Premiums in LOB: Motor,Premiums in LOB: Household,Premiums in LOB: Health,Premiums in LOB:  Life,Premiums in LOB: Work Compensations
314.06,103.9,253.38,3.0,8.78
348.62,43.9,226.82,-7.0,19.78
384.85,368.4,108.91,-3.0,23.56
426.97,133.9,116.8,31.45,9.89
278.61,18.35,246.38,-1.11,34.56
320.95,260.05,151.25,65.9,14.89
341.62,77.8,173.7,24.67,21.45
240.6,305.6,166.92,53.9,79.57
367.29,102.25,142.47,46.12,24.67
91.35,799.6,134.47,9.89,197.37
420.97,93.9,134.47,-0.11,-5.0
306.17,133.35,172.7,17.78,73.68
479.2,64.45,93.24,1.89,10.78
466.42,-10.55,112.91,12.89,16.89
326.73,-16.1,220.04,11.67,9.78
16.56,904.05,156.14,23.45,214.04
290.72,201.7,159.92,44.12,58.9
409.52,246.15,72.79,29.34,48.12
441.64,104.45,95.24,11.67,20.56
361.4,72.25,173.81,17.78,27.45
291.5,182.8,99.02,94.35,72.57
531.88,128.9,29.34,-7.0,7.0
479.2,-40.55,78.68,10.67,20.56
410.52,-30.0,169.92,22.67,1.89
257.05,137.25,186.37,48.12,50.01
319.84,299.5,105.02,37.23,45.01
80.46,187.8,330.95,83.57,92.46
506.65,65.0,79.46,-3.0,-2.0
197.37,14.45,337.84,30.56,42.23
483.87,79.45,74.68,5.78,10.89
200.15,279.5,189.37,77.68,69.9
127.58,278.95,337.62,33.34,26.67
559.44,45.0,17.56,2.0,-6.0
138.47,412.3,234.6,76.46,64.01
225.71,426.2,139.47,97.24,35.34
494.65,103.9,56.79,9.89,13.89
235.71,-0.55,242.49,105.91,-12.0
242.6,162.8,276.83,39.23,14.78
463.53,23.9,92.13,5.89,20.67
162.14,259.5,290.5,42.12,34.34
30.45,696.8,205.15,97.13,119.91
458.53,172.25,69.68,7.89,31.45
169.7,830.15,163.92,4.78,82.57
501.54,-40.0,68.57,5.89,-8.0
390.52,-30.55,0.0,-1.11,-0.11
228.6,167.8,279.72,29.45,14.67
397.41,74.45,144.25,23.67,23.78
249.27,-5.0,222.82,58.01,64.9
441.75,108.9,93.24,10.67,19.56
153.25,343.4,204.15,76.57,83.35
372.07,271.15,119.8,1.89,65.01
481.09,79.45,92.13,5.89,-0.11
513.54,69.45,68.79,12.89,11.0
143.36,220.6,223.93,107.91,81.68
186.59,574.0,207.26,3.89,73.46
525.1,70.0,45.01,9.89,-10.0
166.81,486.2,221.82,71.68,22.45
251.16,-50.0,237.6,44.12,41.12
471.2,30.0,103.13,4.89,4.89
353.51,-10.55,176.7,54.01,1.89
485.87,118.9,73.68,20.67,17.89
183.59,447.85,280.72,42.34,9.78
457.53,48.9,100.13,-4.0,34.56
456.31,25.0,118.91,12.89,-2.11
157.25,519.55,147.14,86.46,88.13
474.09,148.35,83.46,18.78,7.0
411.41,-35.55,131.47,31.45,5.78
533.1,14.45,48.23,10.89,-1.11
90.13,936.3,82.57,195.48,21.67
404.63,5.0,116.8,28.45,45.12
525.21,19.45,41.12,5.0,12.78
101.24,163.35,345.62,5.0,132.47
170.7,692.9,160.03,17.67,111.02
474.98,53.9,83.57,15.78,17.89
8.67,678.45,110.8,181.7,152.03
240.38,136.7,283.72,11.89,4.78
222.93,-40.0,234.49,62.9,52.79
308.06,221.15,161.92,-6.0,68.79
178.59,67.8,258.05,72.57,46.34
436.75,148.35,81.35,18.56,8.67
221.04,108.35,281.72,59.01,6.67
156.92,279.5,255.16,55.9,48.12
476.98,-45.0,68.57,15.78,21.67
167.03,575.65,276.94,28.56,27.34
95.35,633.45,101.02,71.57,199.37
371.18,113.9,170.81,26.56,12.67
289.72,185.6,190.48,43.12,22.67
283.83,128.35,194.26,62.79,30.45
566.44,-5.0,17.56,2.0,1.0
475.2,73.9,92.24,3.89,11.89
127.8,534.0,227.6,7.89,111.02
196.26,226.7,307.39,0.89,48.12
280.72,38.9,256.16,0.0,28.45
109.02,103.9,383.96,53.01,50.23
434.86,108.9,112.8,10.89,26.67
366.29,98.35,193.48,-1.11,10.67
154.14,77.25,110.91,183.48,102.13
415.41,99.45,108.91,22.56,32.23
291.5,260.05,147.36,49.12,45.01
422.3,117.25,107.13,28.45,10.67
472.2,98.9,84.46,4.78,21.78
301.28,197.25,222.82,2.89,36.45
333.84,-16.1,199.26,22.56,34.45
505.65,-25.55,69.57,1.89,-2.0
378.96,28.9,180.59,8.78,16.89
353.51,197.25,172.92,28.56,12.56
226.82,255.6,254.38,17.67,57.01
184.7,195.6,194.26,81.57,86.35
367.29,167.8,141.47,0.0,26.34
309.39,23.35,214.15,33.34,31.34
458.42,113.9,99.13,9.78,4.89
54.79,868.5,221.82,42.34,94.46
252.27,118.9,289.72,31.45,22.78
262.27,246.15,213.04,34.45,42.01
205.04,328.95,221.82,34.34,48.12
420.08,-50.0,127.58,18.56,17.78
470.2,157.8,68.79,30.56,13.89
297.39,9.45,209.15,34.23,35.34
176.81,236.15,279.72,26.45,63.79
190.59,190.6,219.93,146.36,12.0
437.97,43.9,130.58,0.0,7.67
265.16,-65.0,284.61,29.56,6.67
152.14,482.3,195.26,53.01,89.13
103.24,241.15,289.61,127.69,44.23
270.83,373.95,155.25,37.23,49.9
348.4,309.5,106.91,38.34,22.45
335.73,18.9,229.71,-0.11,15.89
440.86,53.9,132.58,-0.11,13.89
318.95,64.45,215.82,20.67,13.78
354.51,334.5,176.81,5.89,-6.11
378.85,74.45,128.58,28.34,34.34
228.6,167.8,288.72,30.34,11.78
336.84,152.8,211.93,-5.0,20.67
487.98,14.45,90.46,3.89,0.78
89.24,623.45,223.71,51.12,93.24
25.34,181.7,119.91,76.68,352.62
46.23,924.05,159.14,182.48,40.45
299.28,57.8,161.92,83.46,17.78
230.82,289.5,188.59,60.9,64.79
121.69,349.5,294.39,54.9,59.12
319.84,162.25,145.14,64.79,21.78
351.51,118.9,218.04,18.78,-12.0
475.09,15.0,93.35,15.78,2.78
145.36,122.25,368.07,29.56,33.56
113.8,33.35,316.17,108.02,23.34
270.94,225.6,202.26,30.45,35.23
240.49,281.15,244.49,29.34,25.56
251.16,18.35,260.16,19.67,46.34
336.62,192.8,199.37,14.67,0.78
200.15,397.85,228.6,28.34,39.34
174.92,307.85,229.6,47.01,70.9
263.27,13.9,241.38,70.68,-7.0
49.23,280.6,172.7,163.92,160.03
175.59,393.4,202.37,29.45,119.91
561.33,-50.0,15.67,1.0,-7.0
121.58,642.35,56.9,88.35,166.7
338.51,68.9,214.15,16.67,13.89
386.63,102.8,158.14,16.78,0.89
328.95,181.15,178.59,1.89,43.34
78.68,451.2,112.02,200.26,125.8
367.07,118.35,143.47,42.34,15.56
63.79,771.8,206.04,69.79,102.02
321.17,92.25,103.02,80.46,74.79
176.59,195.05,238.6,86.35,30.45
247.49,152.25,241.38,28.34,32.34
369.29,-30.0,167.03,24.67,62.01
515.32,35.0,58.01,10.78,9.89
183.59,546.2,219.82,50.01,46.34
160.92,1439.15,119.69,-1.11,19.56
305.17,437.3,61.01,115.91,21.56
47.12,248.95,219.93,133.58,141.58
35.34,869.6,243.6,76.57,71.57
415.08,28.35,125.8,26.56,3.89
400.41,108.9,134.58,25.56,22.67
286.5,132.25,230.6,16.78,11.67
483.09,142.8,57.79,-7.0,15.67
75.46,672.35,235.49,85.35,51.23
286.5,295.6,214.15,15.67,27.67
155.92,958.5,194.26,37.23,-5.11
25.34,951.85,158.92,41.23,166.03
387.85,-1.1,166.92,13.67,23.78
249.16,187.25,259.05,32.45,6.89
250.27,411.75,87.46,74.68,93.13
441.75,-35.55,130.58,6.89,8.89
168.03,265.6,273.94,68.79,52.23
131.47,579.55,219.93,108.02,21.67
422.3,30.0,155.25,10.78,22.67
133.47,266.15,359.29,41.23,26.67
182.59,327.85,217.93,52.01,68.79
224.82,482.3,183.59,30.56,73.46
335.62,88.9,215.93,2.89,-0.22
412.19,216.7,83.35,2.89,51.23
314.06,138.35,216.82,13.67,9.89
319.17,220.05,74.46,69.79,67.57
253.38,417.85,158.14,59.79,54.12
332.62,28.35,196.48,32.45,22.78
509.54,-25.55,72.68,-1.11,-7.0
346.51,48.9,189.37,9.78,18.56
344.62,72.8,151.03,39.34,41.45
224.71,442.3,212.93,59.01,16.89
320.17,387.85,115.8,10.89,88.57
155.25,485.1,223.82,100.13,0.78
517.21,94.45,57.01,3.0,7.89
161.14,33.9,330.84,47.12,44.12
140.25,432.85,97.24,132.47,141.47
404.63,33.9,169.92,13.78,-0.11
198.48,190.05,288.5,0.89,52.12
53.9,658.45,264.16,77.68,83.57
203.26,108.35,159.03,146.36,60.68
348.51,-70.0,150.25,57.01,39.23
214.15,442.85,163.03,71.68,79.57
151.03,67.8,287.5,51.12,58.79
355.29,230.05,114.8,50.12,12.78
546.88,70.0,38.23,-5.0,-7.0
496.65,0.0,63.68,15.78,5.89
274.94,87.8,121.58,121.8,39.12
471.2,44.45,82.35,10.78,0.78
332.84,69.45,144.25,79.57,19.45
462.53,48.9,94.24,28.56,14.89
214.15,550.65,183.59,59.79,23.34
351.4,83.35,103.91,44.23,56.79
419.97,44.45,126.58,15.67,8.78
402.41,163.35,127.47,5.78,7.67
215.04,205.05,209.15,60.79,45.01
38.45,642.9,197.26,227.82,16.89
159.03,752.35,137.58,162.03,16.89
292.39,197.25,216.82,32.34,7.0
221.82,73.9,305.39,22.56,22.45
154.14,249.5,365.18,-1.11,15.89
280.83,176.15,196.48,17.67,67.9
474.31,13.35,99.24,10.78,-5.0
60.68,270.6,177.59,182.48,107.13
291.5,48.9,251.27,25.56,1.89
383.85,182.8,142.36,27.45,15.78
331.84,265.6,130.47,65.9,11.67
408.3,42.8,114.91,23.45,4.78
315.17,63.9,208.15,59.01,4.89
495.76,18.9,75.57,-5.0,-1.11
485.87,-30.55,96.35,-1.11,-2.11
8.67,431.2,176.7,240.49,54.9
202.15,133.9,268.83,49.12,58.12
251.49,281.15,273.83,10.78,21.67
185.37,398.4,155.03,48.12,119.8
227.93,558.45,119.91,63.9,77.57
508.32,-35.0,59.9,-6.0,-2.11
248.38,92.8,265.05,24.45,25.56
36.34,585.1,86.24,341.51,-1.11
390.63,192.25,159.14,0.89,9.0
123.69,1100.75,217.93,6.89,41.34
167.7,285.05,234.49,95.13,34.56
0.0,0.0,0.0,0.0,0.0
272.83,312.85,121.69,73.68,31.23
279.61,186.15,202.26,14.78,57.12
204.15,264.5,246.49,36.34,48.01
206.04,-35.55,245.38,102.13,30.56
356.4,137.8,177.59,9.78,23.56
81.46,779.6,46.23,210.04,77.35
312.17,162.8,151.14,55.01,36.12
156.25,755.15,199.26,59.9,25.45
532.21,-45.0,47.01,4.89,10.89
263.16,270.6,254.27,19.67,15.67
372.85,43.9,171.7,11.78,10.78
404.41,107.25,110.8,24.56,12.78
527.32,60.0,62.79,6.0,-10.0
181.48,122.25,284.72,47.01,37.34
532.21,-65.0,53.9,-3.0,1.0
233.6,206.7,265.94,36.45,21.67
350.62,141.15,127.58,39.34,38.23
535.1,75.0,44.12,6.89,-2.11
258.27,206.7,268.83,18.56,-8.0
349.4,28.9,189.59,26.45,0.78
85.57,667.9,134.47,47.12,207.26
318.95,340.05,188.48,11.78,15.78
498.65,-70.0,71.68,8.78,7.89
91.24,546.2,227.6,60.01,110.91
111.8,339.5,268.83,106.91,12.56
239.49,156.15,231.71,41.12,38.45
337.73,18.35,216.04,-1.11,10.67
29.56,1153.55,167.92,15.78,152.03
335.62,57.8,171.81,26.45,23.56
331.73,162.25,94.35,63.79,71.79
55.9,854.6,154.14,128.58,94.46
179.7,546.2,168.7,54.9,94.46
302.28,412.85,130.47,49.01,8.78
464.42,118.35,72.68,20.67,12.56
376.07,47.8,125.69,39.34,27.34
398.74,192.8,145.14,12.89,14.78
392.52,39.45,176.7,3.0,-0.11
26.45,298.4,61.01,219.93,213.93
182.59,564.0,110.02,43.23,138.25
338.73,187.25,175.81,43.23,4.78
382.85,177.8,140.36,20.56,18.67
328.84,15.0,136.58,63.79,60.79
325.06,-30.55,202.15,17.56,45.34
322.17,401.2,101.24,54.01,36.34
393.63,48.35,128.58,23.56,35.56
342.62,280.6,108.13,59.9,36.34
202.15,401.75,145.25,29.34,120.8
235.6,457.85,127.69,47.01,103.13
204.26,234.5,178.81,24.45,118.58
428.19,8.9,135.36,1.89,21.78
232.6,529.0,119.8,49.12,82.68
475.31,-40.55,91.35,20.67,17.78
165.92,192.25,260.05,67.79,68.79
71.57,629.55,181.7,190.48,31.34
433.86,84.45,135.47,4.78,10.0
306.28,73.35,222.82,15.67,11.56
303.28,549.55,147.36,-2.0,26.45
185.59,450.65,269.05,-6.0,39.34
352.4,313.95,104.02,35.23,26.56
225.6,0.0,0.0,19.56,13.56
98.24,116.7,306.39,17.56,125.47
290.61,74.45,121.58,68.79,112.13
155.14,323.4,143.36,122.58,92.35
274.94,163.35,278.72,5.89,10.89
399.52,112.8,141.36,23.67,11.89
161.81,78.9,196.26,129.69,90.46
506.65,30.0,73.57,1.89,10.89
427.86,-11.1,107.91,17.67,22.78
206.26,501.75,175.7,101.13,19.45
87.35,211.15,361.29,11.67,76.46
533.99,-30.0,52.01,3.0,0.0
559.44,-45.0,28.56,3.0,-2.0
132.36,391.75,224.93,113.02,43.34
116.91,397.85,209.04,81.57,118.91
490.87,-10.55,84.46,11.89,-3.11
407.52,62.8,168.92,7.0,3.0
349.51,59.45,209.15,18.78,16.67
514.54,39.45,60.9,8.89,9.89
305.39,201.15,214.15,7.78,33.45
210.04,192.25,293.5,42.23,0.78
280.61,108.9,215.82,21.56,48.23
229.82,93.9,310.17,32.45,14.89
468.42,102.8,71.68,19.67,22.67
476.09,-45.0,104.02,7.0,-2.0
233.6,358.95,208.04,42.34,32.23
527.32,-20.55,60.9,3.0,7.89
496.65,97.8,49.12,15.67,8.0
287.61,38.35,194.48,54.01,42.23
480.09,-55.0,92.24,18.78,3.89
549.55,15.0,25.56,4.0,2.0
508.43,64.45,63.9,0.89,11.89
490.76,5.0,63.68,7.78,18.78
276.72,93.35,210.93,41.34,36.45
448.75,38.35,106.13,27.56,15.89
416.41,62.8,111.8,6.78,23.34
479.09,-35.0,108.02,-5.0,6.0
264.16,132.25,261.05,24.67,27.67
229.71,226.7,239.49,35.23,41.23
233.49,197.25,269.83,20.56,16.56
108.91,309.5,176.59,215.04,28.67
351.4,33.35,177.59,17.56,2.89
91.13,157.25,225.82,138.36,99.24
489.87,13.35,59.79,6.78,15.89
88.24,411.75,177.81,208.15,24.45
152.03,298.4,174.7,97.13,83.46
84.46,166.7,218.04,110.02,151.14
41.23,53.9,177.81,309.28,67.9
322.17,309.5,114.91,47.12,67.79
209.26,18.35,288.5,37.34,30.34
280.94,127.25,197.37,91.35,-12.0
358.4,280.05,141.36,28.56,23.78
0.0,82.25,238.6,13.67,23.45
170.7,161.15,229.6,5.78,113.69
363.29,156.15,122.8,45.23,36.45
286.72,304.5,101.13,104.02,53.23
321.84,83.9,238.6,3.89,3.89
326.73,122.8,184.7,41.23,-4.11
174.7,250.6,291.5,58.9,28.67
262.05,13.9,243.38,16.56,50.12
443.64,72.25,86.24,5.89,12.78
221.04,455.1,158.03,83.46,29.45
341.73,261.15,164.81,18.67,15.67
383.96,122.8,145.25,22.67,13.56
60.79,300.6,272.05,100.13,110.91
428.86,53.9,124.69,16.78,7.89
144.47,358.95,178.59,166.03,50.01
202.04,221.7,281.61,8.89,59.12
230.82,82.25,240.38,73.57,-5.11
343.51,38.35,192.48,28.45,-4.0
495.65,52.8,62.9,-5.0,-2.0
126.58,392.85,215.82,105.02,62.01
566.33,10.0,16.67,-6.0,-10.0
529.1,-45.55,41.12,0.0,-6.0
425.97,-15.55,151.25,2.0,7.89
541.99,4.45,47.23,8.89,6.0
524.21,40.0,58.01,10.89,-0.11
326.95,93.35,108.91,78.46,46.01
517.43,-25.0,77.68,-3.0,-6.11
166.03,617.9,233.49,33.34,19.56
30.56,381.75,132.58,272.05,74.46
396.41,186.7,116.69,15.78,29.67
407.3,133.35,141.47,15.78,6.67
345.4,94.45,189.59,-6.0,35.12
499.54,69.45,73.68,2.89,4.0
47.12,752.35,98.13,18.56,293.72
464.42,-35.55,113.8,5.0,8.0
192.59,72.25,314.17,24.45,24.45
280.94,28.35,155.14,89.46,76.79
363.29,0.0,154.14,47.23,13.56
166.81,441.2,181.48,104.13,33.34
263.16,131.7,170.7,32.45,90.35
270.94,3.9,95.24,144.36,62.68
479.2,34.45,81.35,26.56,15.89
115.02,465.65,192.26,85.46,104.13
338.51,138.35,177.59,45.23,3.0
166.81,314.5,246.38,45.23,72.68
294.5,52.8,238.49,20.67,14.78
387.63,19.45,163.81,12.78,17.78
184.59,186.7,301.39,48.23,36.45
538.1,-30.0,48.01,-4.0,9.0
223.82,216.7,297.5,-1.11,39.45
62.79,721.8,83.46,64.9,240.49
211.93,634.0,162.92,5.78,0.0
38.34,181.7,103.13,193.48,234.71
349.29,-25.55,147.36,58.01,30.45
443.53,108.35,76.46,15.67,15.67
156.03,280.05,224.93,71.68,88.35
497.65,49.45,63.68,2.89,-1.11
416.41,23.35,157.03,3.89,12.0
244.49,295.05,174.81,80.46,39.23
362.29,43.35,122.8,33.34,48.9
416.19,94.45,144.25,3.89,7.78
237.6,271.15,188.37,77.57,38.23
267.83,78.9,114.91,7.0,184.48
355.51,18.9,181.59,19.56,13.56
275.72,471.2,167.92,-2.0,46.23
278.94,205.05,165.92,39.23,64.9
184.37,-30.55,317.95,34.45,39.34
409.52,-6.1,161.14,5.78,0.0
71.57,751.25,146.14,81.35,126.69
273.83,378.95,171.7,36.34,24.34
74.68,613.45,209.93,5.89,156.92
378.74,132.8,140.36,25.56,19.67
394.74,146.7,149.14,-6.0,14.78
162.92,412.3,123.69,106.91,108.02
54.79,564.0,129.47,128.69,142.25
195.48,366.75,274.94,23.45,23.78
297.39,251.15,201.15,-1.11,39.45
325.95,172.8,160.03,44.23,38.23
394.52,255.6,93.35,53.01,-1.0
452.53,133.9,102.02,11.89,0.78
371.07,205.6,93.35,52.9,25.56
497.65,8.9,60.9,11.67,-5.11
207.26,608.45,211.04,29.56,41.45
0.0,58.9,142.36,18.67,18.78
446.75,163.35,117.69,2.0,-12.0
222.71,142.8,314.06,8.78,10.89
264.05,191.15,178.59,54.12,49.01
121.58,408.4,297.39,77.68,17.56
350.51,128.9,209.15,4.89,23.56
179.48,366.75,212.04,24.56,60.68
343.51,133.9,211.93,8.89,10.89
103.24,362.85,280.83,48.23,105.13
166.7,509.55,239.49,60.01,2.89
499.76,-25.55,0.0,22.56,2.0
28.56,1231.9,182.7,2.0,146.47
151.36,393.95,158.14,117.91,105.8
505.43,45.0,60.79,1.89,13.89
90.46,781.25,217.93,133.47,13.89
153.25,865.15,166.92,84.35,20.45
559.66,30.0,31.45,6.0,-11.0
354.4,161.15,100.02,74.68,24.67
398.63,128.35,155.03,14.67,-11.0
378.96,211.7,85.35,60.01,39.34
390.85,-16.1,179.59,1.89,4.89
274.72,170.6,156.03,22.56,84.46
302.17,-75.0,165.03,-2.0,119.91
282.61,24.45,236.49,26.45,30.56
332.84,202.25,186.59,26.45,35.56
463.31,14.45,59.9,31.45,18.45
381.74,118.35,93.35,34.34,54.79
199.15,364.5,184.59,75.68,61.68
442.75,3.9,107.02,6.89,19.56
45.12,604.55,136.47,108.02,187.48
401.41,70.0,153.14,10.89,25.56
425.19,5.0,159.03,4.89,9.89
336.84,132.8,222.93,0.89,24.67
403.52,98.9,97.13,44.12,29.45
490.65,-45.55,83.57,8.89,8.0
150.36,249.5,241.6,135.58,15.56
367.07,147.8,124.8,9.78,67.68
210.15,142.8,315.95,19.67,22.56
376.85,87.8,149.14,4.78,14.78
188.59,487.3,110.02,107.13,118.8
353.51,230.05,98.13,43.23,48.01
330.84,279.5,109.8,53.01,17.45
206.26,632.9,170.81,51.01,45.34
479.87,-30.55,81.46,12.89,12.89
135.47,246.15,286.72,93.24,40.34
335.84,-15.55,122.8,13.67,107.8
483.98,19.45,74.57,26.56,14.89
149.14,406.75,205.15,40.12,87.24
78.68,23.35,286.72,187.59,26.34
487.87,25.0,88.46,6.89,16.89
215.93,128.35,252.27,36.23,64.79
457.42,131.15,78.57,-7.0,4.78
143.25,761.8,229.82,44.23,34.34
63.79,500.1,246.38,144.25,19.56
357.4,43.9,142.36,34.45,41.01
144.14,347.3,253.16,10.89,77.35
238.6,62.8,257.27,67.68,16.89
461.2,-10.55,0.0,3.89,7.89
275.05,251.15,175.81,71.57,30.34
482.98,55.0,92.24,0.0,4.89
233.6,368.95,222.71,30.34,11.56
521.1,-25.55,36.23,8.89,12.89
396.63,82.8,164.92,9.89,-6.11
236.6,253.95,219.93,31.45,23.34
112.8,382.3,190.37,70.68,128.69
128.69,274.5,317.06,-0.11,88.46
143.25,205.05,317.06,8.78,59.9
338.84,136.15,143.36,23.56,50.01
409.52,123.9,105.13,22.67,52.01
350.4,122.8,89.46,68.68,52.01
62.68,251.15,165.92,311.28,4.78
199.15,182.8,289.72,16.56,64.01
525.99,-25.0,47.12,3.89,3.0
282.83,121.7,192.26,56.01,16.56
501.65,14.45,70.68,0.89,-4.11
404.3,241.7,112.91,18.56,7.89
327.06,211.7,172.81,45.23,32.56
203.37,245.05,209.93,48.01,62.79
150.14,84.45,381.96,10.78,27.34
504.54,45.0,71.57,3.0,8.0
238.6,283.95,162.03,10.78,121.8
397.52,15.0,110.02,63.79,26.67
443.75,107.25,87.46,9.78,13.56
70.57,653.45,158.14,124.8,124.8
546.77,-70.0,42.23,3.0,-5.0
541.88,0.0,46.23,0.89,8.0
523.21,35.0,43.23,16.67,-4.11
320.84,47.8,123.8,107.91,12.89
239.71,113.35,271.05,57.01,16.56
201.37,219.5,228.82,51.9,50.01
350.62,-11.1,141.25,52.9,24.45
66.57,500.65,236.49,141.36,21.45
486.98,113.9,78.57,16.78,5.89
145.47,255.05,317.06,36.34,31.23
381.07,131.7,160.92,0.89,-0.22
315.06,13.35,231.82,4.78,10.67
190.59,303.95,125.58,87.35,111.69
363.4,118.35,157.03,45.23,20.67
0.0,64.45,107.91,23.45,0.0
285.83,28.9,288.61,11.89,12.89
435.86,18.9,127.47,-5.0,9.89
417.3,192.8,133.58,12.78,12.78
360.4,33.9,190.48,23.67,12.67
370.18,-45.55,111.02,73.68,49.23
166.81,352.85,266.05,47.01,22.56
58.9,72.8,247.27,99.02,148.25
540.77,-15.0,38.34,3.0,-12.0
227.82,280.6,252.38,64.68,3.0
444.53,-10.0,122.69,12.89,11.0
228.82,153.35,329.73,9.89,22.78
469.2,187.8,70.68,18.67,-2.11
175.81,108.35,261.27,19.67,119.58
458.31,38.9,107.13,11.78,-2.0
103.24,570.1,274.83,9.89,118.02
490.76,138.35,41.12,14.67,21.78
290.72,482.3,150.14,62.79,21.78
37.12,921.85,160.92,85.35,88.24
210.15,343.4,147.36,75.57,98.24
161.92,593.4,310.17,398.3,50.23
205.26,156.7,251.38,48.23,67.68
434.86,58.9,130.47,3.89,-8.0
328.95,8.9,188.48,46.12,0.0
183.59,118.9,304.17,70.79,16.67
279.61,246.7,218.04,37.23,2.89
373.85,-45.0,190.59,5.0,14.56
334.84,133.9,218.04,14.67,25.67
47.01,1310.8,188.37,75.68,21.78
376.96,293.95,118.69,12.89,13.67
316.28,13.35,235.6,4.78,8.67
233.71,5.0,208.04,132.58,28.67
327.73,265.05,133.36,37.34,34.45
237.6,69.45,176.59,92.35,81.46
381.96,69.45,161.14,16.78,30.23
132.36,343.4,96.13,133.58,146.25
309.06,308.95,89.35,60.9,67.9
309.39,44.45,80.46,166.03,38.23
391.85,127.8,149.25,15.67,14.67
361.18,192.25,138.36,35.45,27.56
474.2,-65.0,104.91,-4.0,7.0
164.81,570.1,98.02,201.26,-4.11
163.03,481.75,224.82,94.35,18.56
481.98,87.25,68.68,12.89,2.89
351.4,133.9,139.36,47.23,40.23
413.19,58.9,138.36,18.78,15.89
393.74,137.25,151.14,0.89,16.67
365.07,33.35,179.59,18.78,-3.11
329.73,48.9,207.15,15.67,26.67
232.82,456.2,91.24,65.68,102.13
291.72,165.6,144.36,98.24,24.56
343.62,108.35,175.7,18.67,47.34
73.57,536.2,229.82,5.0,197.37
233.6,590.1,91.35,83.35,84.57
433.75,108.9,129.69,0.89,12.89
138.36,587.9,236.49,14.78,74.79
26.67,347.85,184.48,57.9,254.38
416.3,-16.1,132.47,12.89,34.56
482.98,123.9,93.35,-5.0,15.89
487.76,8.9,74.46,-3.0,-8.0
350.51,53.9,200.15,14.78,10.67
149.14,43.9,366.07,31.45,13.67
258.05,-11.1,261.05,28.56,27.56
198.37,177.8,339.73,17.56,1.78
139.25,688.45,193.26,113.8,8.89
143.36,261.15,256.27,68.79,90.35
516.21,128.9,54.01,-2.0,1.0
381.07,241.7,113.8,32.34,20.45
480.87,94.45,81.35,0.0,-3.11
547.66,10.0,24.45,-2.0,6.0
256.27,305.05,234.6,11.78,40.34
202.15,622.9,198.37,46.01,-5.11
30.56,1478.6,129.69,153.14,11.89
97.35,594.55,270.05,1.89,123.8
207.15,595.1,151.14,88.35,34.34
453.53,28.35,109.02,0.89,12.78
404.3,5.0,164.92,12.89,12.89
369.07,107.25,161.14,35.34,9.0
0.0,24.45,81.46,5.0,-11.0
477.98,73.9,75.57,15.78,1.89
151.03,364.5,269.05,40.34,52.79
447.64,30.0,87.24,25.56,16.56
380.85,118.9,143.47,33.34,18.56
373.18,103.35,156.03,29.34,0.78
269.94,353.95,173.81,48.23,54.12
215.93,-5.55,315.06,26.45,13.78
315.06,57.8,165.81,37.34,35.23
392.85,97.25,149.14,23.67,-1.0
442.64,122.8,103.13,4.78,17.89
384.74,263.95,93.35,7.89,37.23
324.84,240.6,151.03,54.12,6.89
299.39,77.25,224.71,15.78,10.67
430.86,18.9,132.47,11.89,4.0
55.01,530.1,185.59,70.68,174.7
365.29,137.8,114.02,30.45,61.68
326.73,422.3,138.36,11.89,13.56
21.78,1025.75,72.57,278.83,4.78
456.31,-11.1,84.35,9.78,-1.11
231.82,226.15,267.16,9.78,37.12
338.62,-45.55,199.26,20.56,22.56
406.3,-30.55,147.36,17.78,13.78
499.54,118.35,48.12,-0.11,11.67
90.35,991.85,106.02,103.13,93.13
445.53,-40.0,74.68,14.78,41.01
187.37,325.05,237.71,34.34,74.57
445.75,121.7,92.35,2.89,11.67
331.84,23.9,224.93,-1.11,35.56
536.88,4.45,34.34,1.89,-8.0
238.49,283.4,185.59,80.57,7.67
202.04,268.95,124.58,56.9,126.69
510.43,19.45,78.68,-2.0,10.0
55.9,427.3,300.39,55.01,98.24
102.02,1005.75,104.13,47.01,132.58
344.62,57.8,139.25,24.45,54.12
92.13,294.5,373.96,53.01,-3.11
521.21,-60.0,53.9,-4.0,-8.0
285.5,88.35,245.27,11.78,9.89
92.35,205.6,162.81,228.71,67.9
201.15,127.8,142.25,112.91,106.13
284.83,202.25,223.82,32.34,15.56
287.72,187.8,209.04,25.56,36.12
120.58,656.8,155.03,123.8,45.12
302.5,101.7,149.36,57.01,56.79
277.72,280.6,196.26,46.23,23.56
226.93,313.4,160.14,90.24,46.01
287.72,219.5,214.15,-4.0,40.23
422.3,187.8,72.68,43.12,32.34
186.37,564.55,179.7,27.45,75.57
288.5,211.15,142.36,59.01,43.01
361.29,13.9,188.37,9.89,26.67
275.83,663.45,178.7,3.89,-0.11
562.44,-45.0,24.67,3.0,5.0
262.27,511.75,161.03,12.89,76.46
215.93,303.4,208.15,90.24,6.89
87.46,146.7,332.73,122.69,8.78
226.6,309.5,125.69,102.13,73.57
470.2,40.0,104.91,-7.0,0.0
298.61,780.7,70.57,45.23,26.34
228.71,50.0,211.04,147.36,16.89
486.76,18.9,73.68,13.78,-2.0
340.62,102.8,202.15,17.78,7.89
415.08,74.45,145.25,1.0,13.78
290.39,98.35,156.03,32.45,78.35
