Customer Identity,First Policy´s Year,Brithday Year,Educational Degree,Gross Monthly Salary,Geographic Living Area,Has Children (Y=1),Customer Monetary Value,Claims Rate,Premiums in LOB: Motor,Premiums in LOB: Household,Premiums in LOB: Health,Premiums in LOB:  Life,Premiums in LOB: Work Compensations
3081,1976,1969,3 - BSc/MSc,2111,4,1,479.54,0.20,515.32,35.00,58.01,10.78,9.89
3082,1991,1992,3 - BSc/MSc,1340,4,1,71.35,0.91,183.59,546.20,219.82,50.01,46.34
3083,1974,1995,2 - High School,1125,1,1,-45.67,1.01,160.92,1439.15,119.69,-1.11,19.56
3084,1992,1981,3 - BSc/MSc,1770,4,1,374.52,0.58,305.17,437.30,61.01,115.91,21.56
3085,1996,1989,2 - High School,1604,3,1,-17.00,0.99,47.12,248.95,219.93,133.58,141.58
3086,1984,1992,2 - High School,1324,3,1,951.51,0.25,35.34,869.60,243.60,76.57,71.57
3087,1983,1937,2 - High School,3321,4,1,448.88,0.21,415.08,28.35,125.80,26.56,3.89
3088,1997,1981,3 - BSc/MSc,2553,1,1,423.64,0.35,400.41,108.90,134.58,25.56,22.67
3089,1990,1979,3 - BSc/MSc,2948,4,1,95.58,0.82,286.50,132.25,230.60,16.78,11.67
3090,1983,1973,2 - High School,2492,1,1,452.76,0.31,483.09,142.80,57.79,-7.00,15.67
3091,1986,1992,3 - BSc/MSc,939,1,1,26.23,0.95,75.46,672.35,235.49,85.35,51.23
3092,1996,1944,3 - BSc/MSc,3751,1,0,242.93,0.68,286.50,295.60,214.15,15.67,27.67
3093,1981,1994,3 - BSc/MSc,615,3,1,1121.54,0.14,155.92,958.50,194.26,37.23,-5.11
3094,1986,1997,1 - Basic,1046,4,1,1092.88,0.17,25.34,951.85,158.92,41.23,166.03
3095,1980,1957,4 - PhD,2896,4,1,-17.09,0.99,387.85,-1.10,166.92,13.67,23.78
3096,1989,1946,2 - High School,3187,1,1,187.81,0.71,249.16,187.25,259.05,32.45,6.89
3097,1978,1981,2 - High School,1231,4,1,278.73,0.67,199.26,416.75,108.13,113.02,94.13
3098,1981,1961,2 - High School,2788,3,1,57.46,0.91,250.27,411.75,87.46,74.68,93.13
3099,1988,1963,3 - BSc/MSc,3037,3,1,-89.21,1.12,441.75,-35.55,130.58,6.89,8.89
3100,1992,1988,2 - High School,1140,3,1,408.63,0.48,168.03,265.60,273.94,68.79,52.23
3101,1979,1987,2 - High School,700,4,1,106.47,0.88,131.47,579.55,219.93,108.02,21.67
3102,1990,1975,4 - PhD,2122,4,1,-5.78,0.97,422.30,30.00,155.25,10.78,22.67
3103,1993,1937,2 - High School,3896,3,0,16.23,0.95,133.47,266.15,359.29,41.23,26.67
3104,1991,1964,1 - Basic,2219,2,1,-25.00,1.00,182.59,327.85,217.93,52.01,68.79
3105,1983,1962,3 - BSc/MSc,3386,1,1,48.46,0.93,224.82,482.30,183.59,30.56,73.46
3106,1979,1939,3 - BSc/MSc,4139,1,0,401.75,0.34,335.62,88.90,215.93,2.89,-0.22
3107,1991,1955,3 - BSc/MSc,2797,3,1,191.70,0.72,412.19,216.70,83.35,2.89,51.23
3108,1992,1992,4 - PhD,1261,1,1,298.95,0.53,314.06,138.35,216.82,13.67,9.89
3109,1984,1956,1 - Basic,3560,1,0,431.53,0.39,319.17,220.05,74.46,69.79,67.57
3110,1986,1952,2 - High School,2958,1,1,342.29,0.61,253.38,417.85,158.14,59.79,54.12
3111,1992,1960,2 - High School,2824,2,0,307.62,0.46,332.62,28.35,196.48,32.45,22.78
3112,1982,1963,3 - BSc/MSc,2699,4,1,448.66,0.14,509.54,-25.55,72.68,-1.11,-7.00
3113,1979,1944,3 - BSc/MSc,3969,1,0,380.19,0.34,346.51,48.90,189.37,9.78,18.56
3114,1995,1959,3 - BSc/MSc,3211,4,1,238.83,0.59,344.62,72.80,151.03,39.34,41.45
3115,1983,1970,3 - BSc/MSc,1669,4,0,50.90,0.92,224.71,442.30,212.93,59.01,16.89
3116,1990,1953,3 - BSc/MSc,3920,4,0,-102.68,1.08,320.17,387.85,115.80,10.89,88.57
3117,1975,1954,2 - High School,3428,1,1,230.38,0.74,155.25,485.10,223.82,100.13,0.78
3118,1981,1968,2 - High School,2550,4,0,77.34,0.85,517.21,94.45,57.01,3.00,7.89
3119,1982,1941,2 - High School,4404,4,0,125.92,0.76,161.14,33.90,330.84,47.12,44.12
3120,1976,1972,2 - High School,2255,4,1,680.57,0.25,140.25,432.85,97.24,132.47,141.47
3121,1983,1976,3 - BSc/MSc,2168,1,1,-5.21,0.97,404.63,33.90,169.92,13.78,-0.11
3122,1993,1986,3 - BSc/MSc,1468,4,1,173.48,0.73,198.48,190.05,288.50,0.89,52.12
3123,1977,1992,2 - High School,1266,1,1,633.45,0.42,53.90,658.45,264.16,77.68,83.57
3124,1995,1990,2 - High School,991,1,1,-28.78,1.01,203.26,108.35,159.03,146.36,60.68
3125,1986,1974,2 - High School,2404,4,1,-77.22,1.10,348.51,-70.00,150.25,57.01,39.23
3126,1994,1982,2 - High School,1388,1,1,109.58,0.86,214.15,442.85,163.03,71.68,79.57
3127,1978,1950,1 - Basic,3322,3,0,201.50,0.63,151.03,67.80,287.50,51.12,58.79
3128,1987,1961,1 - Basic,2695,3,1,597.68,0.18,355.29,230.05,114.80,50.12,12.78
3129,1998,1970,2 - High School,1939,1,1,33.00,0.91,546.88,70.00,38.23,-5.00,-7.00
3130,1982,1968,3 - BSc/MSc,2827,4,1,487.43,0.12,496.65,0.00,63.68,15.78,5.89
3131,1979,1956,2 - High School,2770,3,1,215.94,0.63,274.94,87.80,121.58,121.80,39.12
3132,1982,1962,2 - High School,2378,1,1,502.21,0.14,471.20,44.45,82.35,10.78,0.78
3133,1989,1966,1 - Basic,2494,4,1,437.41,0.28,332.84,69.45,144.25,79.57,19.45
3134,1993,1967,3 - BSc/MSc,2179,4,1,457.87,0.26,462.53,48.90,94.24,28.56,14.89
3135,1977,1939,3 - BSc/MSc,3530,3,0,272.28,0.71,214.15,550.65,183.59,59.79,23.34
3136,1986,1993,2 - High School,1427,1,1,365.52,0.39,351.40,83.35,103.91,44.23,56.79
3137,1991,1980,3 - BSc/MSc,2200,3,1,439.42,0.25,419.97,44.45,126.58,15.67,8.78
3138,1993,1977,4 - PhD,1899,3,1,140.24,0.77,402.41,163.35,127.47,5.78,7.67
3139,1983,1987,3 - BSc/MSc,1902,1,1,500.89,0.28,215.04,205.05,209.15,60.79,45.01
3140,1994,1994,1 - Basic,1119,2,1,634.79,0.41,38.45,642.90,197.26,227.82,16.89
3141,1995,1978,2 - High School,1750,4,1,1048.41,0.13,159.03,752.35,137.58,162.03,16.89
3142,1994,1951,3 - BSc/MSc,3678,4,0,235.05,0.65,292.39,197.25,216.82,32.34,7.00
3143,1996,1951,3 - BSc/MSc,3190,4,1,270.61,0.54,221.82,73.90,305.39,22.56,22.45
3144,1982,1939,3 - BSc/MSc,4139,1,0,141.70,0.79,154.14,249.50,365.18,-1.11,15.89
3145,1990,1937,4 - PhD,3947,4,0,42.90,0.91,280.83,176.15,196.48,17.67,67.90
3146,1988,1964,3 - BSc/MSc,2703,3,1,455.09,0.19,474.31,13.35,99.24,10.78,-5.00
3147,1994,2001,1 - Basic,372,4,1,488.76,0.36,60.68,270.60,177.59,182.48,107.13
3148,1990,1975,3 - BSc/MSc,1989,3,1,-1.66,0.96,291.50,48.90,251.27,25.56,1.89
3149,1988,1975,2 - High School,1622,3,1,370.52,0.47,383.85,182.80,142.36,27.45,15.78
3150,1991,1986,3 - BSc/MSc,1206,3,0,372.74,0.51,331.84,265.60,130.47,65.90,11.67
3151,1993,1953,2 - High School,3463,3,0,-6.33,0.97,408.30,42.80,114.91,23.45,4.78
3152,1988,1975,2 - High School,2480,4,1,97.91,0.81,315.17,63.90,208.15,59.01,4.89
3153,1978,1969,3 - BSc/MSc,2081,3,1,482.44,0.13,495.76,18.90,75.57,-5.00,-1.11
3154,1980,1964,3 - BSc/MSc,2537,1,1,394.33,0.24,485.87,-30.55,96.35,-1.11,-2.11
3155,1983,2000,1 - Basic,791,4,0,38.57,0.93,8.67,431.20,176.70,240.49,54.90
3156,1985,1972,2 - High School,2768,2,1,108.90,0.81,202.15,133.90,268.83,49.12,58.12
3157,1995,1946,3 - BSc/MSc,3905,1,0,266.93,0.65,251.49,281.15,273.83,10.78,21.67
3158,1979,1942,2 - High School,3710,3,0,280.17,0.66,185.37,398.40,155.03,48.12,119.80
3159,1981,1987,2 - High School,1845,3,1,216.60,0.77,227.93,558.45,119.91,63.90,77.57
3160,1990,1964,3 - BSc/MSc,2594,1,1,394.99,0.20,508.32,-35.00,59.90,-6.00,-2.11
3161,1977,1958,2 - High School,2689,4,0,67.80,0.86,248.38,92.80,265.05,24.45,25.56
3162,1976,1998,1 - Basic,495,4,1,-333.50,1.29,36.34,585.10,86.24,341.51,-1.11
3163,1985,1954,3 - BSc/MSc,3337,4,1,-34.89,1.01,390.63,192.25,159.14,0.89,9.00
3164,1979,1985,3 - BSc/MSc,1741,1,1,105.58,0.91,123.69,1100.75,217.93,6.89,41.34
3165,1992,1945,2 - High School,4641,4,0,-25.00,1.00,167.70,285.05,234.49,95.13,34.56
3166,1995,1981,2 - High School,1813,4,1,-25.00,0.00,,0.00,,,
3167,1981,1967,3 - BSc/MSc,2600,1,1,247.83,0.66,272.83,312.85,121.69,73.68,31.23
3168,1979,1976,3 - BSc/MSc,2308,1,1,218.27,0.67,279.61,186.15,202.26,14.78,57.12
3169,1981,1985,3 - BSc/MSc,1101,1,1,-61.34,1.05,204.15,264.50,246.49,36.34,48.01
3170,1995,1951,3 - BSc/MSc,2988,1,1,-126.66,1.19,206.04,-35.55,245.38,102.13,30.56
3171,1994,1988,3 - BSc/MSc,1109,4,1,298.06,0.54,356.40,137.80,177.59,9.78,23.56
3172,1983,1995,1 - Basic,731,4,1,754.60,0.35,81.46,779.60,46.23,210.04,77.35
3173,1979,1971,3 - BSc/MSc,2412,1,0,378.30,0.44,312.17,162.80,151.14,55.01,36.12
3174,1982,1978,2 - High School,2035,3,1,45.90,0.94,156.25,755.15,199.26,59.90,25.45
3175,1992,1971,3 - BSc/MSc,2126,4,1,-110.11,1.15,532.21,-45.00,47.01,4.89,10.89
3176,1989,1938,3 - BSc/MSc,4493,4,0,508.76,0.35,263.16,270.60,254.27,19.67,15.67
3177,1994,1985,3 - BSc/MSc,2067,4,1,347.85,0.39,372.85,43.90,171.70,11.78,10.78
3178,1980,1975,3 - BSc/MSc,2647,2,,392.19,0.37,404.41,107.25,110.80,24.56,12.78
3179,1985,1977,3 - BSc/MSc,1717,3,1,25.00,0.92,527.32,60.00,62.79,6.00,-10.00
3180,1985,1947,2 - High School,4258,4,0,-25.00,1.00,181.48,122.25,284.72,47.01,37.34
3181,1995,1966,3 - BSc/MSc,2623,1,1,-158.00,1.26,532.21,-65.00,53.90,-3.00,1.00
3182,1987,,2 - High School,3954,2,0,-25.00,1.00,233.60,206.70,265.94,36.45,21.67
3183,1985,1967,2 - High School,2730,4,1,403.19,0.39,350.62,141.15,127.58,39.34,38.23
3184,1993,1970,3 - BSc/MSc,2704,4,1,571.88,0.09,535.10,75.00,44.12,6.89,-2.11
3185,1985,1954,4 - PhD,2713,4,0,190.71,0.71,258.27,206.70,268.83,18.56,-8.00
3186,1978,1988,3 - BSc/MSc,1039,1,1,30.35,0.91,349.40,28.90,189.59,26.45,0.78
3187,1980,1999,1 - Basic,346,3,1,803.04,0.28,85.57,667.90,134.47,47.12,207.26
3188,1992,1968,3 - BSc/MSc,2494,3,1,455.09,0.20,480.20,28.90,86.35,-0.11,7.78
3189,1993,1957,2 - High School,3307,4,1,-36.78,1.01,318.95,340.05,188.48,11.78,15.78
3190,1984,1964,2 - High School,2760,1,1,402.76,0.17,498.65,-70.00,71.68,8.78,7.89
3191,1976,1992,2 - High School,1391,4,1,-25.00,1.00,91.24,546.20,227.60,60.01,110.91
3192,1990,1935,3 - BSc/MSc,4475,3,0,433.97,0.45,111.80,339.50,268.83,106.91,12.56
3193,1991,1992,3 - BSc/MSc,1157,4,1,-104.57,1.11,239.49,156.15,231.71,41.12,38.45
3194,1983,1942,3 - BSc/MSc,4243,2,0,310.51,0.42,337.73,18.35,216.04,-1.11,10.67
3195,1985,1994,1 - Basic,611,1,1,142.81,0.89,29.56,1153.55,167.92,15.78,152.03
3196,1994,1995,1 - Basic,1984,3,0,186.27,0.73,167.70,235.05,222.93,135.58,23.78
3197,1997,1961,2 - High School,3201,4,1,360.63,0.37,335.62,57.80,171.81,26.45,23.56
3198,1989,1970,1 - Basic,2770,4,1,442.31,0.35,331.73,162.25,94.35,63.79,71.79
3199,1978,1997,2 - High School,939,4,1,253.94,0.78,55.90,854.60,154.14,128.58,94.46
3200,1992,1991,3 - BSc/MSc,1653,1,1,646.00,0.36,179.70,546.20,168.70,54.90,94.46
3201,1994,1976,1 - Basic,1376,3,1,15.23,0.96,302.28,412.85,130.47,49.01,8.78
3202,1980,1968,3 - BSc/MSc,2606,1,0,439.42,0.33,464.42,118.35,72.68,20.67,12.56
3203,1985,1988,3 - BSc/MSc,1354,4,1,465.55,0.20,376.07,47.80,125.69,39.34,27.34
3204,1992,1961,4 - PhD,3256,1,0,375.63,0.48,398.74,192.80,145.14,12.89,14.78
3205,1984,1981,3 - BSc/MSc,1897,1,1,367.19,0.36,392.52,39.45,176.70,3.00,-0.11
3206,1984,1996,1 - Basic,336,1,1,85.92,0.86,26.45,298.40,61.01,219.93,213.93
3207,1992,1955,2 - High School,3625,4,0,859.84,0.15,182.59,564.00,110.02,43.23,138.25
3208,1980,1939,3 - BSc/MSc,4465,4,0,500.98,0.30,338.73,187.25,175.81,43.23,4.78
3209,1998,1948,3 - BSc/MSc,4080,1,0,533.76,0.25,382.85,177.80,140.36,20.56,18.67
3210,1988,1949,2 - High School,3409,4,1,315.84,0.44,328.84,15.00,136.58,63.79,60.79
3211,1989,1946,2 - High School,3487,1,0,287.07,0.44,325.06,-30.55,202.15,17.56,45.34
3212,1986,1958,1 - Basic,2458,4,1,-79.01,1.06,322.17,401.20,101.24,54.01,36.34
3213,1981,1953,2 - High School,3448,1,1,427.75,0.28,393.63,48.35,128.58,23.56,35.56
3214,1991,1954,3 - BSc/MSc,3370,3,1,-84.90,1.07,342.62,280.60,108.13,59.90,36.34
3215,1998,1959,1 - Basic,3123,4,0,-116.46,1.10,202.15,401.75,145.25,29.34,120.80
3216,1976,1981,3 - BSc/MSc,1879,4,1,715.46,0.24,235.60,457.85,127.69,47.01,103.13
3217,1975,1977,1 - Basic,2196,1,1,179.26,0.73,204.26,234.50,178.81,24.45,118.58
3218,1988,1972,3 - BSc/MSc,2398,4,1,-46.78,1.04,428.19,8.90,135.36,1.89,21.78
3219,1993,1940,1 - Basic,4055,2,0,454.88,0.53,232.60,529.00,119.80,49.12,82.68
3220,1990,1958,3 - BSc/MSc,2049,1,1,-103.21,1.14,475.31,-40.55,91.35,20.67,17.78
3221,1996,1952,3 - BSc/MSc,4010,2,1,98.46,0.84,165.92,192.25,260.05,67.79,68.79
3222,1992,1948,2 - High School,3568,4,0,-56.34,1.03,71.57,629.55,181.70,190.48,31.34
3223,1987,1978,4 - PhD,1843,1,1,59.45,0.87,433.86,84.45,135.47,4.78,10.00
3224,1994,1971,2 - High School,1942,2,1,381.86,0.35,306.28,73.35,222.82,15.67,11.56
3225,1992,1957,4 - PhD,3214,1,1,850.28,0.15,303.28,549.55,147.36,-2.00,26.45
3226,1979,1992,3 - BSc/MSc,1936,4,1,2.34,0.97,185.59,450.65,269.05,-6.00,39.34
3227,1987,1980,2 - High School,2604,1,1,297.62,0.61,352.40,313.95,104.02,35.23,26.56
3228,1990,1949,4 - PhD,,1,0,8.12,0.87,225.60,0.00,,19.56,13.56
3229,1984,1983,2 - High School,1121,2,1,46.91,0.89,98.24,116.70,306.39,17.56,125.47
3230,1993,1956,1 - Basic,4184,4,1,92.79,0.82,290.61,74.45,121.58,68.79,112.13
3231,1993,1948,1 - Basic,3493,4,0,345.07,0.56,155.14,323.40,143.36,122.58,92.35
3232,1988,1937,4 - PhD,4234,4,0,419.18,0.39,274.94,163.35,278.72,5.89,10.89
3233,1989,1962,3 - BSc/MSc,2844,4,1,510.99,0.22,399.52,112.80,141.36,23.67,11.89
3234,1991,1947,3 - BSc/MSc,3455,4,0,-245.15,1.34,161.81,78.90,196.26,129.69,90.46
3235,1988,1961,3 - BSc/MSc,2587,4,1,-25.00,1.00,506.65,30.00,73.57,1.89,10.89
3236,1985,1970,1 - Basic,2578,4,1,-41.21,1.03,427.86,-11.10,107.91,17.67,22.78
3237,1992,1982,1 - Basic,2339,4,1,181.26,0.79,206.26,501.75,175.70,101.13,19.45
3238,1994,1992,2 - High School,968,3,1,-25.00,1.00,87.35,211.15,361.29,11.67,76.46
3239,1993,1962,3 - BSc/MSc,2688,1,1,-58.00,1.06,533.99,-30.00,52.01,3.00,
3240,1981,1966,4 - PhD,2701,4,1,-114.00,1.16,559.44,-45.00,28.56,3.00,-2.00
3241,1995,1988,2 - High School,1698,4,1,210.39,0.74,132.36,391.75,224.93,113.02,43.34
3242,1983,1942,2 - High School,4076,1,0,173.48,0.79,116.91,397.85,209.04,81.57,118.91
3243,1981,1951,3 - BSc/MSc,3042,3,1,-61.10,1.06,490.87,-10.55,84.46,11.89,-3.11
3244,1992,1980,4 - PhD,2117,1,1,34.80,0.91,407.52,62.80,168.92,7.00,3.00
3245,1979,1957,3 - BSc/MSc,2562,2,1,-6.22,0.97,349.51,59.45,209.15,18.78,16.67
3246,1978,1967,4 - PhD,1858,4,1,24.34,0.92,514.54,39.45,60.90,8.89,9.89
3247,1977,1953,3 - BSc/MSc,3930,2,0,209.60,0.69,305.39,201.15,214.15,7.78,33.45
3248,1985,1937,3 - BSc/MSc,4319,4,0,378.07,0.45,210.04,192.25,293.50,42.23,0.78
3249,1986,1982,2 - High School,1626,3,1,-25.00,1.00,280.61,108.90,215.82,21.56,48.23
3250,1991,1938,3 - BSc/MSc,3553,1,0,36.45,0.91,229.82,93.90,310.17,32.45,14.89
3251,1987,1963,3 - BSc/MSc,2998,3,1,440.42,0.32,468.42,102.80,71.68,19.67,22.67
3252,1996,1973,4 - PhD,2456,1,1,411.09,0.19,476.09,-45.00,104.02,7.00,-2.00
3253,1990,1955,2 - High School,3100,1,0,250.94,0.68,233.60,358.95,208.04,42.34,32.23
3254,1993,1966,3 - BSc/MSc,2872,4,1,-61.21,1.06,527.32,-20.55,60.90,3.00,7.89
3255,1985,1945,2 - High School,4016,3,1,-17.33,0.99,496.65,97.80,49.12,15.67,8.00
3256,1993,1937,2 - High School,3892,4,0,29.01,0.91,287.61,38.35,194.48,54.01,42.23
3257,1974,1943,4 - PhD,3085,2,1,322.42,0.36,480.09,-55.00,92.24,18.78,3.89
3258,1975,1959,3 - BSc/MSc,2150,4,1,-29.00,1.01,549.55,15.00,25.56,4.00,2.00
3259,1984,1963,1 - Basic,2234,2,1,28.45,0.92,508.43,64.45,63.90,0.89,11.89
3260,1984,1961,3 - BSc/MSc,3084,4,1,478.54,0.14,490.76,5.00,63.68,7.78,18.78
3261,1978,1992,4 - PhD,1654,1,1,288.17,0.52,276.72,93.35,210.93,41.34,36.45
3262,1976,1956,3 - BSc/MSc,3005,4,0,-14.21,0.98,448.75,38.35,106.13,27.56,15.89
3263,1982,1960,3 - BSc/MSc,2698,1,1,67.92,0.85,416.41,62.80,111.80,6.78,23.34
3264,1985,1973,3 - BSc/MSc,2133,1,1,-94.00,1.12,479.09,-35.00,108.02,-5.00,6.00
3265,1985,1993,2 - High School,827,3,1,371.41,0.44,264.16,132.25,261.05,24.67,27.67
3266,1983,1941,3 - BSc/MSc,3446,4,0,210.71,0.69,229.71,226.70,239.49,35.23,41.23
3267,1975,1981,3 - BSc/MSc,1206,4,1,-8.44,0.98,233.49,197.25,269.83,20.56,16.56
3268,1979,1985,2 - High School,1688,1,1,69.46,0.89,108.91,309.50,176.59,215.04,28.67
3269,1978,1980,3 - BSc/MSc,2526,3,1,326.40,0.40,351.40,33.35,177.59,17.56,2.89
3270,1980,1994,2 - High School,1314,3,0,212.60,0.67,91.13,157.25,225.82,138.36,99.24
3271,1990,1970,3 - BSc/MSc,2193,4,1,-27.54,1.00,489.87,13.35,59.79,6.78,15.89
3272,1990,1995,2 - High School,1148,3,1,63.24,0.90,88.24,411.75,177.81,208.15,24.45
3273,1978,1982,1 - Basic,1368,1,1,606.02,0.22,152.03,298.40,174.70,97.13,83.46
3274,1975,1997,2 - High School,864,1,1,-50.56,1.03,84.46,166.70,218.04,110.02,151.14
3275,1998,1995,2 - High School,809,1,0,138.03,0.75,41.23,53.90,177.81,309.28,67.90
3276,1991,1982,1 - Basic,2027,1,1,297.17,0.63,322.17,309.50,114.91,47.12,67.79
3277,1994,1950,3 - BSc/MSc,3061,1,0,251.94,0.53,209.26,18.35,288.50,37.34,30.34
3278,1996,1956,2 - High School,2773,4,1,243.94,0.61,280.94,127.25,197.37,91.35,-12.00
3279,1983,1952,3 - BSc/MSc,2730,1,1,231.27,0.69,358.40,280.05,141.36,28.56,23.78
3280,1986,1974,2 - High School,2110,1,1,-15.22,0.97,,82.25,238.60,13.67,23.45
3281,1980,1949,2 - High School,3509,2,,253.61,0.59,170.70,161.15,229.60,5.78,113.69
3282,1981,1957,3 - BSc/MSc,3457,1,1,20.23,0.94,363.29,156.15,122.80,45.23,36.45
3283,1995,1989,3 - BSc/MSc,784,3,1,261.72,0.66,286.72,304.50,101.13,104.02,53.23
3284,1983,,3 - BSc/MSc,2433,1,1,289.06,0.52,321.84,83.90,238.60,3.89,3.89
3285,1976,1964,3 - BSc/MSc,3064,3,1,297.62,0.52,326.73,122.80,184.70,41.23,-4.11
3286,1990,1987,3 - BSc/MSc,1235,1,1,371.63,0.51,174.70,250.60,291.50,58.90,28.67
3287,1979,1982,3 - BSc/MSc,1840,4,1,200.83,0.61,262.05,13.90,243.38,16.56,50.12
3288,1996,1961,2 - High School,3004,1,0,496.78,0.16,443.64,72.25,86.24,5.89,12.78
3289,1991,1956,1 - Basic,3370,3,1,87.91,0.88,221.04,455.10,158.03,83.46,29.45
3290,1976,1962,2 - High School,2573,3,1,612.22,0.21,341.73,261.15,164.81,18.67,15.67
3291,1976,1954,3 - BSc/MSc,3811,3,1,61.57,0.87,383.96,122.80,145.25,22.67,13.56
3292,1982,1992,2 - High School,1049,4,1,325.61,0.58,60.79,300.60,272.05,100.13,110.91
3293,1977,1976,2 - High School,2302,1,1,37.79,0.90,428.86,53.90,124.69,16.78,7.89
3294,1991,1935,2 - High School,3859,3,0,644.45,0.25,144.47,358.95,178.59,166.03,50.01
3295,1991,1991,2 - High School,1700,2,1,-16.11,0.99,202.04,221.70,281.61,8.89,59.12
3296,1994,1988,3 - BSc/MSc,1676,4,1,195.60,0.65,230.82,82.25,240.38,73.57,-5.11
3297,1979,1959,4 - PhD,3289,4,0,310.51,0.44,343.51,38.35,192.48,28.45,-4.00
3298,1977,1968,3 - BSc/MSc,2537,2,1,11.80,0.94,495.65,52.80,62.90,-5.00,-2.00
3299,1989,1944,2 - High School,4155,4,0,305.84,0.63,126.58,392.85,215.82,105.02,62.01
3300,1983,1968,4 - PhD,2819,4,1,-51.00,1.05,566.33,10.00,16.67,-6.00,-10.00
3301,1975,1964,3 - BSc/MSc,2864,3,1,452.55,0.08,529.10,-45.55,41.12,,-6.00
3302,1991,1947,3 - BSc/MSc,3555,4,0,-46.21,1.04,425.97,-15.55,151.25,2.00,7.89
3303,1987,1971,3 - BSc/MSc,1789,3,1,506.55,0.13,541.99,4.45,47.23,8.89,6.00
3304,1990,1980,3 - BSc/MSc,1155,1,1,509.99,0.15,524.21,40.00,58.01,10.89,-0.11
3305,1993,1954,1 - Basic,2861,1,1,380.41,0.38,326.95,93.35,108.91,78.46,46.01
3306,1981,1976,3 - BSc/MSc,1645,1,1,-99.33,1.13,517.43,-25.00,77.68,-3.00,-6.11
3307,1986,1989,2 - High School,1051,4,1,-11.22,0.99,166.03,617.90,233.49,33.34,19.56
3308,1980,1999,1 - Basic,615,1,1,733.82,0.15,30.56,381.75,132.58,272.05,74.46
3309,1986,1948,3 - BSc/MSc,4042,4,1,587.78,0.18,396.41,186.70,116.69,15.78,29.67
3310,1989,1950,4 - PhD,3553,1,0,151.70,0.76,374.18,176.70,168.70,5.89,3.89
3311,1980,1936,2 - High School,3919,1,0,522.32,0.22,407.30,133.35,141.47,15.78,6.67
3312,1985,1974,2 - High School,2544,3,1,337.52,0.45,345.40,94.45,189.59,-6.00,35.12
3313,1996,1975,3 - BSc/MSc,1828,4,1,37.56,0.90,499.54,69.45,73.68,2.89,4.00
3314,1975,1997,1 - Basic,665,3,1,793.03,0.32,47.12,752.35,98.13,18.56,293.72
3315,1990,1979,3 - BSc/MSc,2390,4,1,-52.55,1.05,464.42,-35.55,113.80,5.00,8.00
3316,1986,1989,3 - BSc/MSc,1853,1,1,167.59,0.69,192.59,72.25,314.17,24.45,24.45
3317,1995,1953,2 - High School,3238,2,0,-25.00,1.00,280.94,28.35,155.14,89.46,76.79
3318,1980,1943,2 - High School,,2,0,-38.56,1.02,363.29,0.00,154.14,47.23,13.56
3319,1991,1971,2 - High School,2317,4,0,382.86,0.56,166.81,441.20,181.48,104.13,33.34
3320,1982,1955,2 - High School,2947,4,1,16.35,0.94,263.16,131.70,170.70,32.45,90.35
3321,1976,1954,2 - High School,3638,4,1,-106.68,1.14,270.94,3.90,95.24,144.36,62.68
3322,1990,1977,3 - BSc/MSc,1293,1,1,-9.11,0.98,479.20,34.45,81.35,26.56,15.89
3323,1991,1991,2 - High School,1401,3,1,630.24,0.32,115.02,465.65,192.26,85.46,104.13
3324,1982,1986,3 - BSc/MSc,1446,1,1,-73.23,1.07,338.51,138.35,177.59,45.23,3.00
3325,1993,1977,3 - BSc/MSc,1604,1,1,69.13,0.89,166.81,314.50,246.38,45.23,72.68
3326,1994,1945,3 - BSc/MSc,4001,4,0,357.75,0.38,294.50,52.80,238.49,20.67,14.78
3327,1993,1979,3 - BSc/MSc,1877,4,1,-20.00,0.99,387.63,19.45,163.81,12.78,17.78
3328,1982,1982,3 - BSc/MSc,1972,3,1,111.36,0.82,184.59,186.70,301.39,48.23,36.45
3329,1988,1963,4 - PhD,2488,2,1,479.10,0.10,538.10,-30.00,48.01,-4.00,9.00
3330,1990,1985,3 - BSc/MSc,1766,4,1,412.19,0.44,223.82,216.70,297.50,-1.11,39.45
3331,1979,1995,1 - Basic,1138,4,0,935.18,0.18,62.79,721.80,83.46,64.90,240.49
3332,1983,1959,3 - BSc/MSc,3301,4,1,820.93,0.17,211.93,634.00,162.92,5.78,
3333,1986,1996,1 - Basic,768,1,1,-25.00,1.00,38.34,181.70,103.13,193.48,234.71
3334,1987,1968,2 - High School,2896,1,1,210.28,0.58,349.29,-25.55,147.36,58.01,30.45
3335,1985,1955,3 - BSc/MSc,2838,3,1,434.20,0.30,443.53,108.35,76.46,15.67,15.67
3336,1991,1945,2 - High School,4091,1,0,42.68,0.92,156.03,280.05,224.93,71.68,88.35
3337,1988,1976,2 - High School,2646,4,1,471.54,0.19,497.65,49.45,63.68,2.89,-1.11
3338,1985,1983,3 - BSc/MSc,2066,1,1,-40.89,1.03,416.41,23.35,157.03,3.89,12.00
3339,1990,1992,2 - High School,2661,4,1,178.26,0.76,244.49,295.05,174.81,80.46,39.23
3340,1977,1981,4 - PhD,1914,3,1,-73.90,1.08,362.29,43.35,122.80,33.34,48.90
3341,1994,1964,2 - High School,2232,4,1,81.12,0.84,416.19,94.45,144.25,3.89,7.78
3342,1997,1945,2 - High School,3828,2,0,250.83,0.66,237.60,271.15,188.37,77.57,38.23
